Nom municipi,Nom comarca,Nom província
Nulles,Alt Camp,Tarragona
Odèn,Solsonès,Lleida
Òdena,Anoia,Barcelona
Ogassa,Ripollès,Girona
Olèrdola,Alt Penedès,Barcelona
Olesa de Bonesvalls,Alt Penedès,Barcelona
Olesa de Montserrat,Baix Llobregat,Barcelona
Oliana,Alt Urgell,Lleida
Oliola,Noguera,Lleida
Olius,Solsonès,Lleida
Olivella,Garraf,Barcelona
Olost,Lluçanès,Barcelona
Olot,Garrotxa,Girona
"Oluges, les",Segarra,Lleida
Olvan,Berguedà,Barcelona
"Omellons, els",Garrigues,Lleida
"Omells de na Gaia, els",Urgell,Lleida
Ordis,Alt Empordà,Girona
Organyà,Alt Urgell,Lleida
Orís,Osona,Barcelona
Oristà,Lluçanès,Barcelona
Orpí,Anoia,Barcelona
Òrrius,Maresme,Barcelona
Os de Balaguer,Noguera,Lleida
Osor,Selva,Girona
Ossó de Sió,Urgell,Lleida
Pacs del Penedès,Alt Penedès,Barcelona
Palafolls,Maresme,Barcelona
Palafrugell,Baix Empordà,Girona
Palamós,Baix Empordà,Girona
"Palau d'Anglesola, el",Pla d'Urgell,Lleida
Palau de Santa Eulàlia,Alt Empordà,Girona
Palau-sator,Baix Empordà,Girona
Palau-saverdera,Alt Empordà,Girona
Palau-solità i Plegamans,Vallès Occidental,Barcelona
"Pallaresos, els",Tarragonès,Tarragona
Pallejà,Baix Llobregat,Barcelona
"Palma d'Ebre, la",Ribera d'Ebre,Tarragona
"Palma de Cervelló, la",Baix Llobregat,Barcelona
Palol de Revardit,Pla de l'Estany,Girona
Pals,Baix Empordà,Girona
"Papiol, el",Baix Llobregat,Barcelona
Pardines,Ripollès,Girona
Parets del Vallès,Vallès Oriental,Barcelona
Parlavà,Baix Empordà,Girona
Passanant i Belltall,Conca de Barberà,Tarragona
Pau,Alt Empordà,Girona
Paüls,Baix Ebre,Tarragona
Pedret i Marzà,Alt Empordà,Girona
Penelles,Noguera,Lleida
"Pera, la",Baix Empordà,Girona
Perafita,Lluçanès,Barcelona
Perafort,Tarragonès,Tarragona
Peralada,Alt Empordà,Girona
Peramola,Alt Urgell,Lleida
"Perelló, el",Baix Ebre,Tarragona
Piera,Anoia,Barcelona
"Piles, les",Conca de Barberà,Tarragona
Pineda de Mar,Maresme,Barcelona
"Pinell de Brai, el",Terra Alta,Tarragona
Pinell de Solsonès,Solsonès,Lleida
Pinós,Solsonès,Lleida
Pira,Conca de Barberà,Tarragona
"Pla de Santa Maria, el",Alt Camp,Tarragona
"Pla del Penedès, el",Alt Penedès,Barcelona
"Planes d'Hostoles, les",Garrotxa,Girona
Planoles,Ripollès,Girona
"Plans de Sió, els",Segarra,Lleida
"Poal, el",Pla d'Urgell,Lleida
"Pobla de Cérvoles, la",Garrigues,Lleida
"Pobla de Claramunt, la",Anoia,Barcelona
"Pobla de Lillet, la",Berguedà,Barcelona
"Pobla de Mafumet, la",Tarragonès,Tarragona
"Pobla de Massaluca, la",Terra Alta,Tarragona
"Pobla de Montornès, la",Tarragonès,Tarragona
"Pobla de Segur, la",Pallars Jussà,Lleida
Poboleda,Priorat,Tarragona
Polinyà,Vallès Occidental,Barcelona
"Pont d'Armentera, el",Alt Camp,Tarragona
"Pont de Bar, el",Alt Urgell,Lleida
Pont de Molins,Alt Empordà,Girona
"Pont de Suert, el",Alta Ribagorça,Lleida
"Pont de Vilomara i Rocafort, el",Bages,Barcelona
Pontils,Conca de Barberà,Tarragona
Pontons,Alt Penedès,Barcelona
Pontós,Alt Empordà,Girona
Ponts,Noguera,Lleida
Porqueres,Pla de l'Estany,Girona
Porrera,Priorat,Tarragona
"Port de la Selva, el",Alt Empordà,Girona
Portbou,Alt Empordà,Girona
"Portella, la",Segrià,Lleida
Pradell de la Teixeta,Priorat,Tarragona
Prades,Baix Camp,Tarragona
Prat de Comte,Terra Alta,Tarragona
"Prat de Llobregat, el",Baix Llobregat,Barcelona
Pratdip,Baix Camp,Tarragona
Prats de Lluçanès,Lluçanès,Barcelona
"Prats de Rei, els",Anoia,Barcelona
Prats i Sansor,Cerdanya,Lleida
Preixana,Urgell,Lleida
Preixens,Noguera,Lleida
Premià de Dalt,Maresme,Barcelona
Premià de Mar,Maresme,Barcelona
"Preses, les",Garrotxa,Girona
Prullans,Cerdanya,Lleida
Puig-reig,Berguedà,Barcelona
Puigcerdà,Cerdanya,Girona
Puigdàlber,Alt Penedès,Barcelona
Puiggròs,Garrigues,Lleida
Puigpelat,Alt Camp,Tarragona
Puigverd d'Agramunt,Urgell,Lleida
Puigverd de Lleida,Segrià,Lleida
Pujalt,Anoia,Barcelona
"Quar, la",Berguedà,Barcelona
Quart,Gironès,Girona
Queralbs,Ripollès,Girona
Querol,Alt Camp,Tarragona
Rabós,Alt Empordà,Girona
Rajadell,Bages,Barcelona
"Ràpita, la",Montsià,Tarragona
Rasquera,Ribera d'Ebre,Tarragona
Regencós,Baix Empordà,Girona
Rellinars,Vallès Occidental,Barcelona
Renau,Tarragonès,Tarragona
Reus,Baix Camp,Tarragona
Rialp,Pallars Sobirà,Lleida
"Riba, la",Alt Camp,Tarragona
Riba-roja d'Ebre,Ribera d'Ebre,Tarragona
Ribera d'Ondara,Segarra,Lleida
Ribera d'Urgellet,Alt Urgell,Lleida
Ribes de Freser,Ripollès,Girona
Riells i Viabrea,Selva,Girona
"Riera de Gaià, la",Tarragonès,Tarragona
Riner,Solsonès,Lleida
Ripoll,Ripollès,Girona
Ripollet,Vallès Occidental,Barcelona
Riu de Cerdanya,Cerdanya,Lleida
Riudarenes,Selva,Girona
Riudaura,Garrotxa,Girona
Riudecanyes,Baix Camp,Tarragona
Riudecols,Baix Camp,Tarragona
Riudellots de la Selva,Selva,Girona
Riudoms,Baix Camp,Tarragona
Riumors,Alt Empordà,Girona
"Roca del Vallès, la",Vallès Oriental,Barcelona
Rocafort de Queralt,Conca de Barberà,Tarragona
Roda de Berà,Tarragonès,Tarragona
Roda de Ter,Osona,Barcelona
Rodonyà,Alt Camp,Tarragona
Roquetes,Baix Ebre,Tarragona
Roses,Alt Empordà,Girona
Rosselló,Segrià,Lleida
"Rourell, el",Alt Camp,Tarragona
Rubí,Vallès Occidental,Barcelona
Rubió,Anoia,Barcelona
Rupià,Baix Empordà,Girona
Rupit i Pruit,Osona,Barcelona
Sabadell,Vallès Occidental,Barcelona
Sagàs,Berguedà,Barcelona
Salàs de Pallars,Pallars Jussà,Lleida
Saldes,Berguedà,Barcelona
Sales de Llierca,Garrotxa,Girona
Sallent,Bages,Barcelona
Salomó,Tarragonès,Tarragona
Salou,Tarragonès,Tarragona
Salt,Gironès,Girona
Sanaüja,Segarra,Lleida
Sant Adrià de Besòs,Barcelonès,Barcelona
Sant Agustí de Lluçanès,Osona,Barcelona
Sant Andreu de la Barca,Baix Llobregat,Barcelona
Sant Andreu de Llavaneres,Maresme,Barcelona
Sant Andreu Salou,Gironès,Girona
Sant Aniol de Finestres,Garrotxa,Girona
Sant Antoni de Vilamajor,Vallès Oriental,Barcelona
Sant Bartomeu del Grau,Osona,Barcelona
Sant Boi de Llobregat,Baix Llobregat,Barcelona
Sant Boi de Lluçanès,Osona,Barcelona
Sant Cebrià de Vallalta,Maresme,Barcelona
Sant Celoni,Vallès Oriental,Barcelona
Sant Climent de Llobregat,Baix Llobregat,Barcelona
Sant Climent Sescebes,Alt Empordà,Girona
Sant Cugat del Vallès,Vallès Occidental,Barcelona
Sant Cugat Sesgarrigues,Alt Penedès,Barcelona
Sant Esteve de la Sarga,Pallars Jussà,Lleida
Sant Esteve de Palautordera,Vallès Oriental,Barcelona
Sant Esteve Sesrovires,Baix Llobregat,Barcelona
Sant Feliu de Buixalleu,Selva,Girona
Sant Feliu de Codines,Vallès Oriental,Barcelona
Sant Feliu de Guíxols,Baix Empordà,Girona
Sant Feliu de Llobregat,Baix Llobregat,Barcelona
Sant Feliu de Pallerols,Garrotxa,Girona
Sant Feliu Sasserra,Bages,Barcelona
Sant Ferriol,Garrotxa,Girona
Sant Fost de Campsentelles,Vallès Oriental,Barcelona
Sant Fruitós de Bages,Bages,Barcelona
Sant Gregori,Gironès,Girona
Sant Guim de Freixenet,Segarra,Lleida
Sant Guim de la Plana,Segarra,Lleida
Sant Hilari Sacalm,Selva,Girona
Sant Hipòlit de Voltregà,Osona,Barcelona
Sant Iscle de Vallalta,Maresme,Barcelona
Sant Jaume d'Enveja,Montsià,Tarragona
Sant Jaume de Frontanyà,Berguedà,Barcelona
Sant Jaume de Llierca,Garrotxa,Girona
Sant Jaume dels Domenys,Baix Penedès,Tarragona
Sant Joan de les Abadesses,Ripollès,Girona
Sant Joan de Mollet,Gironès,Girona
Sant Joan de Vilatorrada,Bages,Barcelona
Sant Joan Despí,Baix Llobregat,Barcelona
Sant Joan les Fonts,Garrotxa,Girona
Sant Jordi Desvalls,Gironès,Girona
Sant Julià de Cerdanyola,Berguedà,Barcelona
Sant Julià de Ramis,Gironès,Girona
Sant Julià de Vilatorta,Osona,Barcelona
Sant Julià del Llor i Bonmatí,Selva,Girona
Sant Just Desvern,Baix Llobregat,Barcelona
Sant Llorenç d'Hortons,Alt Penedès,Barcelona
Sant Llorenç de la Muga,Alt Empordà,Girona
Sant Llorenç de Morunys,Solsonès,Lleida
Sant Llorenç Savall,Vallès Occidental,Barcelona
Sant Martí d'Albars,Lluçanès,Barcelona
Sant Martí de Centelles,Osona,Barcelona
Sant Martí de Llémena,Gironès,Girona
Sant Martí de Riucorb,Urgell,Lleida
Sant Martí de Tous,Anoia,Barcelona
Sant Martí Sarroca,Alt Penedès,Barcelona
Sant Martí Sesgueioles,Anoia,Barcelona
Sant Martí Vell,Gironès,Girona
Sant Mateu de Bages,Bages,Barcelona
Sant Miquel de Campmajor,Pla de l'Estany,Girona
Sant Miquel de Fluvià,Alt Empordà,Girona
Sant Mori,Alt Empordà,Girona
Sant Pau de Segúries,Ripollès,Girona
Sant Pere de Ribes,Garraf,Barcelona
Sant Pere de Riudebitlles,Alt Penedès,Barcelona
Sant Pere de Torelló,Osona,Barcelona
Sant Pere de Vilamajor,Vallès Oriental,Barcelona
Sant Pere Pescador,Alt Empordà,Girona
Sant Pere Sallavinera,Anoia,Barcelona
Sant Pol de Mar,Maresme,Barcelona
Sant Quintí de Mediona,Alt Penedès,Barcelona
Sant Quirze de Besora,Osona,Barcelona
Sant Quirze del Vallès,Vallès Occidental,Barcelona
Sant Quirze Safaja,Moianès,Barcelona
